well_code,well_id,date,wse_m,x_proj,y_proj,row,col,primary_layer,screen_fraction,top_prf_m,bot_prf_m,well_depth_m
416295N1228926W001,28P001M,1993-10-17,817.848504,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1994-04-01,820.957464,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1994-10-27,817.3303440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1995-03-31,825.8037840000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1995-10-18,819.3115440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1996-03-29,825.4989840000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1996-10-24,818.823864,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1997-03-13,824.9503440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1997-10-23,818.2752240000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1998-04-01,825.773304,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1998-10-27,819.372504,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1999-03-16,825.925704,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,1999-10-26,818.5495440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2000-03-24,825.2551440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2000-10-10,818.5495440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2001-03-29,817.9704240000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2001-10-29,816.4159440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2002-03-27,824.157864,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2002-07-16,820.744104,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2002-08-14,819.860184,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2002-09-19,818.640984,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2002-10-09,817.4827440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-03-24,824.9808240000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-05-07,825.1941840000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-06-06,823.7616240000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-07-02,822.603384,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-08-12,820.9879440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-09-05,819.9211440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-10-06,818.976264,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2003-11-05,818.458104,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2004-03-29,825.438024,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2004-07-21,820.2259440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2004-08-11,820.256424,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2004-10-28,818.122824,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2005-04-06,822.999624,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2005-10-17,818.671464,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
416295N1228926W001,28P001M,2006-04-19,825.4075440000001,508946.0219253866,4608646.935731118,66,89,1.0,,,,19.812
